timestamp,building_id,meter_reading,airTemperature,cloudCoverage,dewTemperature,seaLvlPressure,windSpeed,hour,day_of_week,month,day_of_year,sqm,yearbuilt,climate_zone
2016-01-01 01:00:00,Bull_lodging_Travis,583.0,8.9,4.0,2.2,1028.8,3.1,1,5,1,1,69275.1,,Mixed
2016-01-01 02:00:00,Bull_lodging_Travis,583.0,8.9,4.0,2.2,1029.6,3.1,2,5,1,1,69275.1,,Mixed
2016-01-01 03:00:00,Bull_lodging_Travis,581.0,8.3,4.0,1.7,1029.5,3.6,3,5,1,1,69275.1,,Mixed
2016-01-01 04:00:00,Bull_lodging_Travis,583.0,7.8,4.0,1.7,1029.6,5.7,4,5,1,1,69275.1,,Mixed
2016-01-01 05:00:00,Bull_lodging_Travis,579.0,7.2,4.0,1.7,1030.8,5.7,5,5,1,1,69275.1,,Mixed
2016-01-01 06:00:00,Bull_lodging_Travis,586.0,6.7,4.0,1.1,1030.5,4.1,6,5,1,1,69275.1,,Mixed
2016-01-01 07:00:00,Bull_lodging_Travis,579.0,6.7,4.0,0.6,1031.2,4.6,7,5,1,1,69275.1,,Mixed
2016-01-01 08:00:00,Bull_lodging_Travis,579.0,6.7,4.0,0.6,1032.1,4.1,8,5,1,1,69275.1,,Mixed
2016-01-01 09:00:00,Bull_lodging_Travis,578.0,6.7,4.0,0.6,1032.5,4.6,9,5,1,1,69275.1,,Mixed
2016-01-01 10:00:00,Bull_lodging_Travis,572.0,7.2,4.0,0.6,1033.7,3.1,10,5,1,1,69275.1,,Mixed
2016-01-01 11:00:00,Bull_lodging_Travis,574.0,7.2,4.0,1.1,1033.5,5.1,11,5,1,1,69275.1,,Mixed
2016-01-01 12:00:00,Bull_lodging_Travis,576.0,8.3,3.9130434782608696,1.1,1033.1,5.1,12,5,1,1,69275.1,,Mixed
2016-01-01 13:00:00,Bull_lodging_Travis,579.0,7.8,3.8260869565217392,0.6,1031.8,4.1,13,5,1,1,69275.1,,Mixed
2016-01-01 14:00:00,Bull_lodging_Travis,572.0,7.8,3.739130434782609,0.6,1031.5,4.1,14,5,1,1,69275.1,,Mixed
2016-01-01 15:00:00,Bull_lodging_Travis,574.0,8.3,3.739130434782609,1.1,1031.1,3.6,15,5,1,1,69275.1,,Mixed
2016-01-01 16:00:00,Bull_lodging_Travis,576.0,7.8,3.739130434782609,0.6,1031.7,3.1,16,5,1,1,69275.1,,Mixed
