train_size,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std
1183,0.07181595126263653,0.004516100223841745,0.6220381317155684,0.016396200863621455
2367,0.11614692534401365,2.3614759603668436e-05,0.5576297324440156,0.01907707650452674
3551,0.1527466657593967,0.004591544804691492,0.5427771880428874,0.022906705300192343
4734,0.177363513203051,0.006400336355698915,0.5238170907010911,0.02050854075149494
5918,0.2014887149926409,0.006533644732026786,0.5270500216717221,0.014678013152346148
7102,0.22274270720874348,0.0030204061853640494,0.515555765360196,0.01929100709739466
8285,0.23400064449730232,0.004280829992606348,0.5133836179806874,0.020517005994840375
9469,0.2518488858890728,0.0060529401142572145,0.5067442651646503,0.023634953642079
10653,0.2580316748302186,0.0013600893866566252,0.5053747047488981,0.016840973073162614
11837,0.26645816585713655,0.0012381033146353694,0.5015726799548293,0.02235807919583835
