Heating Setpoint (°C),Cooling Setpoint (°C),Ventilation Rate,Annual Energy (kWh),Comfort Penalty
18.53665236437162,25.776532363173047,1.0016007616044547,848497.3125,65.28747916447753
18.53648310582135,25.77669129756734,1.4933319799502836,848036.375,67.72227809081451
18.53696922935572,25.77697607509787,1.3743769440260487,848063.25,66.70968396950506
18.53617624487127,25.776365204114743,1.4788422314437883,848061.75,67.58115215060946
18.54287844119895,25.776372580109538,1.2646200196109783,848149.5625,65.98894032827695
18.536314793353608,25.776510528374505,1.192118264231626,848153.25,65.65745831609469
18.53634050449942,25.776367110850597,1.0340430320988085,848438.75,65.29936851162552
18.54240155500023,25.776577990831218,1.3408220925516026,848074.875,66.45241957208417
18.53665303203127,25.777431175549953,1.3663986937418027,848074.75,66.63312596023715
18.536746653677113,25.77638245397137,1.0386841546655634,848414.75,65.30160961652436
18.54197661475731,25.776416066817042,1.0474259430089163,848385.5,65.31397843506313
18.53634050449942,25.776447107367762,1.0214401136538729,848467.8125,65.29266022877921
18.540777199134297,25.77653340569707,1.0426246831122001,848402.75,65.31357076022813
18.536578233749832,25.777438951576205,1.264949423187453,848143.75,65.99287446098872
18.53631539851797,25.776922508212195,1.1146653521835903,848305.0625,65.42130764272059
18.53627131513438,25.776380097844,1.0521046824831695,848366.25,65.31517689428142
18.536602928171984,25.776371788434773,1.2843460941423026,848141.125,66.0955547331216
18.45486487914246,25.77696373634419,1.1212404689934279,848288.6875,65.42203517520721
18.535664018382164,25.776588881069596,1.2963574613933873,848138.125,66.16882536863612
18.53665236437162,25.77653679221235,1.0094163927845279,848478.4375,65.28835596131405
18.54183096713094,25.777330721033632,1.284153705681869,848139.75,66.1025947048756
18.543084545075505,25.776380880399312,1.1878363912679026,848163.9375,65.64095677389156
18.535496767865737,25.776948985980887,1.3392937610855398,848079.4375,66.44351997882592
18.540777199134297,25.77653340569707,1.4919215550110314,848040.25,67.71527028696869
18.53634050449942,25.776406202786067,1.3365689008349824,848085.0,66.4207043661585
18.541760799808667,25.777498046055115,1.308062538497505,848118.8125,66.24498614495968
18.5365270239079,25.776548536317666,1.317699904764004,848106.0,66.29721014851488
18.536346958911235,25.776410212576774,1.4871329689400943,848040.375,67.66089876231936
18.536720986987586,25.77715916432651,1.1540762285911306,848217.125,65.52687500744095
18.54302183539407,25.776998131634215,1.0703025159549349,848346.875,65.33993216946588
18.536466826600407,25.777015992266538,1.1791309109600312,848178.375,65.61059401902583
18.54302183539407,25.77637343202807,1.1453611913749322,848234.875,65.49958670173304
18.536699889884602,25.776372619696136,1.189925490386977,848154.3125,65.64746381525718
18.53639669013827,25.776364900292958,1.152800151571556,848223.6875,65.52108577083392
18.53631539851797,25.777182590449886,1.1432878395729893,848243.125,65.49606462210872
18.540777199134297,25.77653340569707,1.483063243550375,848048.6875,67.62890309681806
18.535643999356097,25.776415398670096,1.3023206025584368,848136.375,66.20396763256701
18.536456056041573,25.777152353550797,1.3130728720580003,848111.0625,66.27037759581498
18.534720562195556,25.776414060389065,1.0658898291958983,848353.25,65.33610544071512
18.54183096713094,25.776520601920446,1.1624845012903942,848197.5,65.55629450906194
18.536456056041573,25.776996056932813,1.4818189303796596,848052.375,67.61117067897415
18.450769188784285,25.77651270072854,1.0779909495291238,848341.25,65.34693936435445
18.388980113474943,25.776964754052763,1.3261339817581475,848093.625,66.36662255249924
18.536317471384045,25.776548826326433,1.3313437396960903,848090.625,66.38637901525533
18.543262182892747,25.776418654550717,1.0048050004185374,848489.875,65.28797918431641
18.54117194588086,25.777217341417845,1.479871120132277,848055.875,67.59944368949141
18.5365715499953,25.777152353550797,1.3119882366353,848112.6875,66.26325991400233
18.535638205567025,25.776584143022255,1.318937491607761,848103.25,66.30781791776359
18.536454637915302,25.777200339015874,1.1604988952467354,848200.875,65.548005025632
18.536475247347738,25.777015992266538,1.1562887995767857,848212.0625,65.53395242712843
18.53631539851797,25.776551925025032,1.1231456241729023,848282.875,65.44015780245509
18.53634050449942,25.776387673815425,1.3222191982745313,848099.1875,66.3261044038192
18.31854918637517,25.77715765023274,1.366092374354275,848074.5625,66.65580241802387
18.536716593384114,25.776998131634215,1.128772228568976,848264.9375,65.4547435564151
18.53634199875611,25.777194306946697,1.0129830911436402,848473.375,65.29239995580545
18.543084545075505,25.77694296643382,1.1845596413540864,848167.875,65.63075156092395
18.53665303203127,25.777431175549953,1.0903710925549412,848336.375,65.3723152761759
18.536716593384114,25.7765067582125,1.097929737371,848331.125,65.3830769246676
18.53646820264309,25.777444362370897,1.3699470039404327,848068.0625,66.65984164044386
18.57834371104795,25.776567207993132,1.052883405803454,848362.125,65.32526419452716
18.450601485071214,25.776514109463765,1.0634181591591234,848357.5,65.32685676829868
18.54197661475731,25.776416066817042,1.113119571632931,848314.5625,65.41944660922445
18.38880304945589,25.776518254376647,1.370660996846172,848064.125,66.67586846740608
18.536454637915302,25.777200339015874,1.1116627922306408,848323.0625,65.4150918635652
18.53671553388506,25.77719013118819,1.1098724862139946,848327.375,65.41032582343442
18.542967658184445,25.776372580109538,1.1508724172207787,848228.875,65.51606765124194
18.540777199134297,25.77653340569707,1.4849437436175381,848045.9375,67.64710646886189
18.576860752160613,25.77699997431434,1.1380932688547638,848247.125,65.49375173648397
18.536716593384114,25.776998033741137,1.1384194960427227,848250.25,65.48051990884447
18.536335172303563,25.776525475360177,1.306869177428266,848124.625,66.23004441299435
18.57861838956331,25.77651193710008,1.1349657267588573,848254.25,65.47847781914214
18.541892807773284,25.77718951194004,1.3043448251983842,848130.5,66.2207368716233
18.40226284685406,25.777041648525028,1.1298355831991795,848261.5,65.46921381778215
18.54302183539407,25.776998131634215,1.0859660324908822,848338.75,65.36440931939218
18.5785282178954,25.776930681827277,1.4789114401767105,848061.3125,67.59162635066009
18.53644437075254,25.776966957238017,1.1210567169556924,848288.25,65.43615393421857
18.536314858196633,25.776510528374505,1.1478106114348248,848231.25,65.50684362028878
18.543084545075505,25.77694296643382,1.1645638285166708,848190.25,65.5609414853171
18.53634050449942,25.776916448210486,1.1801789818269346,848171.5625,65.61437583761189
18.57834371104795,25.776567207993132,1.1318043218416831,848258.3125,65.47102144099489
18.541965802471562,25.776551371151754,1.3251301076905226,848096.3125,66.34909436477209
18.53634050449942,25.776915634351177,1.1248627948169503,848278.125,65.44563546566566
18.44626615541629,25.777830426576617,1.0952822900309769,848329.625,65.39555703340196
18.536559215273325,25.777151120024097,1.172560446387764,848180.5625,65.58769611037978
18.536314793353608,25.776510521029202,1.3071978908166637,848121.9375,66.232069456705
18.53631539851797,25.776536909779196,1.1127275292742829,848318.0625,65.41553096298627
18.53564768403953,25.77756600608757,1.2981875796828284,848136.625,66.18322693802794
18.53631539851797,25.776551925025032,1.1261238206359916,848269.125,65.44758153624396
18.53671553388506,25.777188059098638,1.4866251009094826,848044.0,67.6576387145277
18.53665303203127,25.77645472312289,1.1585229722328159,848206.375,65.53847105922415
18.540777199134297,25.77653340569707,1.168482813265613,848185.75,65.57926670778292
18.535504518199907,25.77654899127509,1.3049624156311126,848129.75,66.22089408408905
18.53665236437162,25.77653679221235,1.0059479538589282,848491.0,65.2878230583344
18.541957775798366,25.776456547402766,1.3230446702129037,848096.6875,66.33526358189464
18.53248605012439,25.776928976826248,1.1663981442255946,848188.9375,65.57795720578152
18.53665303203127,25.777431175549953,1.3707015747784315,848065.125,66.66484250791225
18.543084545075505,25.776372588062653,1.1808093152246375,848170.1875,65.61502229913827
18.54287844119895,25.776372580109538,1.1720026652525795,848182.125,65.58455194902773
18.536466826600407,25.777015992266538,1.1252207693066967,848275.125,65.44651759706973
18.535462043553746,25.776591421762486,1.1567914658286294,848206.9375,65.53698414331872
