building_id,primaryspaceusage,sqm,site_id,lat,lng,timezone
building_0000,Office,8323,site_2,36.13738312508865,-112.1931072634908,America/New_York
building_0001,Office,31480,site_0,43.691996578385876,-112.7337540836745,America/New_York
building_0002,Office,11122,site_2,39.41919301561025,-85.4812142348616,America/New_York
building_0003,Office,10094,site_1,41.34361599377251,-103.95431754319384,America/Chicago
building_0004,Public Assembly,20352,site_1,42.57219226342931,-113.05415094867865,America/Chicago
building_0005,Education,5073,site_2,37.80595782414592,-104.71235985976408,America/Chicago
building_0006,Education,10996,site_2,35.09406182060035,-82.94567015980874,America/New_York
building_0007,Office,12293,site_0,43.05937437374963,-100.61366753210511,America/Los_Angeles
building_0008,Retail,11943,site_1,41.37346448766002,-115.16659991660924,America/New_York
building_0009,Public Assembly,15257,site_1,40.70085311276422,-81.68075005275759,America/Chicago
building_0010,Retail,19459,site_1,42.87194727908451,-108.77281051644266,America/New_York
building_0011,Office,13499,site_0,40.88877091619938,-108.84688384066496,America/Los_Angeles
building_0012,Public Assembly,17515,site_1,42.38076387577841,-99.74840052399244,America/New_York
building_0013,Lodging,25453,site_0,40.79333963590181,-103.1270485449244,America/Los_Angeles
building_0014,Education,11808,site_1,40.047216725074975,-113.98149784036639,America/Chicago
building_0015,Education,27113,site_0,44.52376961930682,-102.62122626730005,America/Chicago
building_0016,Public Assembly,13673,site_0,36.993032392558156,-114.26811434063059,America/Los_Angeles
building_0017,Education,11304,site_1,37.802684234976276,-88.15195189589895,America/Los_Angeles
building_0018,Office,40754,site_1,40.40309671266854,-89.61576379595563,America/New_York
building_0019,Retail,16751,site_2,35.43936874478027,-97.74689980555654,America/New_York
building_0020,Education,6431,site_1,43.94493847396144,-106.60556730054454,America/New_York
building_0021,Public Assembly,6180,site_2,35.18206529798166,-101.34931954700698,America/New_York
building_0022,Office,17413,site_2,40.677798578977274,-111.44172569130242,America/Chicago
building_0023,Office,6428,site_2,37.14249932949721,-94.24028500212547,America/New_York
building_0024,Public Assembly,26005,site_0,43.92720457827324,-101.55234512505383,America/New_York
building_0025,Public Assembly,16769,site_2,38.73262595844383,-95.03599565135904,America/New_York
building_0026,Retail,79284,site_1,44.209761170948205,-118.22717225982613,America/New_York
building_0027,Office,6496,site_0,36.98621645572726,-80.64653557636082,America/Los_Angeles
building_0028,Office,4457,site_2,43.706901969761944,-81.24973541748815,America/Chicago
building_0029,Education,48090,site_2,43.28994405884086,-110.72591586734825,America/Chicago
building_0030,Lodging,2689,site_2,36.136160288744634,-110.31091137785734,America/New_York
building_0031,Lodging,7517,site_1,44.74859369835054,-92.16175535520725,America/Chicago
building_0032,Retail,2607,site_1,38.764327186139255,-117.0767385598864,America/Los_Angeles
building_0033,Office,7095,site_2,42.36338468445875,-109.642632129798,America/Los_Angeles
building_0034,Public Assembly,2158,site_0,41.07135264282752,-112.47477031342655,America/New_York
building_0035,Lodging,8064,site_2,43.247972541333276,-102.47715022245683,America/Chicago
building_0036,Lodging,12883,site_0,42.662565721446136,-87.71639496914247,America/New_York
building_0037,Retail,21631,site_2,39.81796662578191,-94.43070191672763,America/New_York
building_0038,Education,36693,site_1,39.1382490139116,-114.44921387780767,America/Chicago
building_0039,Education,8402,site_1,44.60986001267704,-101.41098140340432,America/Chicago
building_0040,Education,20732,site_0,35.130749944871084,-115.56743777718495,America/Los_Angeles
building_0041,Public Assembly,11939,site_0,44.30843174900035,-112.20079105927941,America/Chicago
building_0042,Education,21461,site_0,35.33565653232414,-114.82750480036736,America/Chicago
building_0043,Education,9431,site_0,36.60436527707787,-83.87341869680242,America/Chicago
building_0044,Public Assembly,8785,site_1,41.043346855829405,-108.03690244625935,America/New_York
building_0045,Lodging,4053,site_0,41.64836192109084,-110.28487788149994,America/New_York
building_0046,Lodging,124117,site_1,44.12027048493947,-107.4531677199715,America/Los_Angeles
building_0047,Public Assembly,38228,site_2,41.41953174333672,-88.17492079286092,America/New_York
building_0048,Education,55633,site_1,36.89745669831807,-119.65879710312714,America/New_York
building_0049,Public Assembly,39419,site_1,36.25783511770672,-98.64243179271931,America/New_York
